tweet,labels
charli27 stacydmomof5 revkahjc cantucimblond kacado patti hi charli,No Hate and Offensive Speech
charli27 hi charli great day,No Hate and Offensive Speech
"charliedaniel come charli our govern tri protect desert tortois atleast that barack obama say",No Hate and Offensive Speech
charlseykay homee fag,Offensive Speech
chasebasford justinbieb  bitch,Offensive Speech
chasebasford chase god damn faggot ,Hate Speech
chasemanhatttan becom retard,Offensive Speech
checha__ gone nigguh,Hate Speech
checkmylingo_ kingpin_terror ima get everi time throw trash away realli belong ,No Hate and Offensive Speech
cheesu greyyygoos faaaaggggottttt speak blond hair confus your hypocrit cuz your faggot,Hate Speech
chefboyrnach vegeta super hoe snack goni someth fierc buu saga wow,Offensive Speech
cheyennedoan caus hes faggot,Offensive Speech
chicago_rose1 dunleavi cracker ass honki,Offensive Speech
chickencoleman mccoy wasnt trash that td,No Hate and Offensive Speech
chiefkeef fucc droppin song yu gon drop mixtap nicca,Offensive Speech
chillindilla damn thot block ur fuzzi butt  virleehol lancesilver1 christie3 waynebogda 1_conservative9,Offensive Speech
chink chink that better rug rat run around yah crib girl enjoy life lol,No Hate and Offensive Speech
chink shut chink,Hate Speech
chokmah_makob ok billi goat hair hillbilli,Offensive Speech
chokmah_makob said good bye dumb bitch snd said okwhat white devilsi noth vampir lover blood,Offensive Speech
chrisheben motherfuckin bullshit slingin son whore disgrac vet ur crap go pussi land u belong,Offensive Speech
chrismcdowell_ dont bitch,Offensive Speech
chrismcdowell_ pussi ass nigga,Offensive Speech
chrispowellswag _cblaze dswizzle3 dawson nicki hickman delet fake account stop bitch,Offensive Speech
"chrisprob thorsyndirgard peta right pussi",Offensive Speech
"chrissfmori gun sale skyrocket gun crime fallen sharplyani claim contrari use fuzzi math",No Hate and Offensive Speech
christrondsen iand askim5 would rather drink squirrel pee johnni depp wig charli chocol factori,No Hate and Offensive Speech
chris_anzueto josh_mack call someon faggot say kill pathet human fuck disgrac,Hate Speech
christian_esem dont know talk retard faggot,Hate Speech
christymack fug bitch john dump ur ratchet ass,Offensive Speech
christymack ugli flat chest prude ass white bitch,Offensive Speech
chrisworldpeac guess make us black doubl nigger huh,Offensive Speech
chykalet naw u retard kinfolk lol,Offensive Speech
cinwick call sweet baboo ho,Offensive Speech
ciscoallday btw dont ever bring past hoe wit yo ol ladi took l hs tryna semi honest smh,Offensive Speech
ciscoallday hoe know 5 dude hit kim 5 hoe week,Offensive Speech
citygirl_mo  rememb play plaquemin amp kept call whole team gay amp lydia said ill turn hoe fwm ,Offensive Speech
claudialena8 wasnt say yes kannon ghetto know like u look dumb,No Hate and Offensive Speech
clicquotsuav would dead upper cut bitch,Offensive Speech
clicquotsuav maa mermaid sharkett pussi,Offensive Speech
clicquotsuav nigga pussi smell like,Offensive Speech
clicquotsuav new nip drop today rii,No Hate and Offensive Speech
clutchact cmon pussi,Offensive Speech
cody_smit true miss yall man yall brother mikey start chink lmfao,Hate Speech
cogitoergobibo pensk run 22 nascar yellow there sponsor alreadi wouldmakealottasens,No Hate and Offensive Speech
cokamoschiach_ defens trash hes rock jesus soto karass diego chave,No Hate and Offensive Speech
cokefuckedyou im bitch insomnia shit bed sinc midnight,Offensive Speech
colemcdowell2 waco ghetto hahaha wait til go pick nat austin tomorrow,No Hate and Offensive Speech
colemcdowell2 someon sent month ago bitch,Offensive Speech
coley_ce campaign_papi they_callmeshay lmaooo coley whammm add swerve bitch,Offensive Speech
coley_ce _xpriceless_lmaoo bitch dat low blow,Offensive Speech
coley_ce bitch dat yo sahara desert ass,Offensive Speech
coley_ce bitch look white u,Offensive Speech
coley_ce bitch kill yo self,Offensive Speech
coley_ce bitch stop takin shit ooo hate u u dumb bitch,Offensive Speech
coley_ce bitch watch tf u moos meat,Offensive Speech
coley_ce didnt say thought u told delet delet bitch,Offensive Speech
coley_ce fuck u u dumb ass bitch hoe,Offensive Speech
coley_ce lol bitch u forcin glass water bitch u lil thirsti puss thang,Offensive Speech
coley_ce bad bitch ayee ,Offensive Speech
coley_ce yes bitch realiz dat,Offensive Speech
collinbrennan damn son mayb didnt know ya piec tryna get pussi breh,Offensive Speech
commongaytweet nigga byeeeee lmfao ill dam fag stole girl,Offensive Speech
complexmag didnt know whitetear blue yellow lessonoftheday,No Hate and Offensive Speech
"conmanbo lastgreatstandand major leagu bitch",Offensive Speech
conanobrien dat one ugli anim da monkey ador,No Hate and Offensive Speech
conrad_mlg im goin expect get slept faggot,Offensive Speech
coolstoryisaac hahaha thank bitch ,Offensive Speech
coolstoryisaac thisti hoe,Offensive Speech
coosi bitch phone gonna die serious got hot pocket,Offensive Speech
coreyroyalty_ hoe,Offensive Speech
corey_d damn bro ps4 trash lol,Offensive Speech
coronadior found u fuck cock hard love drip pussi,Offensive Speech
cotton_candy9 god wrote em think coon,Offensive Speech
cotton_candy9 hell idk pussi better golden,Offensive Speech
cotton_candy9 lmaoooo aye peopl person know lil rico got hoe hahaha,Offensive Speech
countryredbell thought youd get hint know your fake cunt delet fake account,Offensive Speech
crackerjhak your fag,Hate Speech
crackerboyi hoe realli,Offensive Speech
creolebabybritt blurbett thepbg guy think slang around bitch without offens appar,Offensive Speech
creolebabybritt dont make draw like one franch bitch heffa,Offensive Speech
crew miss tupac rap off hillbilli,No Hate and Offensive Speech
crowe_fashow caus load pussi get right,Offensive Speech
cruzanchokl look yellow fever,No Hate and Offensive Speech
cryystalina cuz peopl work bitch shit talker yeah dude need girl night ___,Offensive Speech
cryystalina haha yes niggah yesterday night idk man hit night like around 2 morn didnt go sleep till like 4,Offensive Speech
cssalaza see bro pussi chang ,Offensive Speech
cssalaza wetback ,Hate Speech
cssalaza yeah bitch hit get friend zone brodi ,Offensive Speech
cssalaza yeah right pussi ,Offensive Speech
cuauhtl elchavaloko cafebabybul hes cheat wetback,Offensive Speech
cuauhtl saucygyro coffeemanelliot call kidd pussi someth,Offensive Speech
cuauhtl couldnt find regular one faggot,Offensive Speech
"cuckoldcock molotovhowdi i like yo page want make da lovin white girl wit color man watchin pullin weeni",Offensive Speech
cuff_no_slut cdfu bitch fri,Offensive Speech
cuner make pussi make stupid internet threat your child idk probabl deserv,Offensive Speech
cutecioth xo_shelbi go buy bitch,Offensive Speech
cuteemerg shown tini kitten dumb fuck cunt,Offensive Speech
"cyberobama ereiev plot twist faggot",Offensive Speech
inceday1 brother tf negro,Offensive Speech
devin__the_dud readi make stat test bitch,Offensive Speech
dhsjournal run cp communiti local cop treat ppl like trash hate make ppl think wast,No Hate and Offensive Speech
directv show yanke game arizona promo washington huski game bet dish would want busi,No Hate and Offensive Speech
djsuggablack peopl shit get shot like peopl hate dodg bullet karma bitch,Offensive Speech
dj_workmann bigmoneynique mane yall nicca crazi af wiz old shit got nicca bitin style n errthan,Offensive Speech
don_lgg triplecz chatt nicca love doin dat brah,Offensive Speech
don_lgg lol hell ya dey think nicca der roadrunnin,Offensive Speech
d6 bitch yu safe ,Offensive Speech
drslaten view hacker level shoplift  bitch slap lake held drown harsh yeah hate,Offensive Speech
ds_arrog hg_shit bet pull leas 3 bitch ,Offensive Speech
dswaggi _justdavilaa xavie quis44 look ur avi u fag,Offensive Speech
inwardforfun bitch denni,Offensive Speech
bitch dont b hypocrit,Offensive Speech
cuz gunna smoke u today u bitch tho,Offensive Speech
d_mrhoop see that gill green bitch ass didnt help get school either yall still tournament,Offensive Speech
d_palomin theonemiss_luu niggah though daniel lol,Offensive Speech
d_palomin poop  see im go ghetto talk wtf,Offensive Speech
dadamnbon  im finna dm pic bruh hoe funni,Offensive Speech
dajetlyf nicca,Offensive Speech
dajetlyf yall nicca spark,Offensive Speech
darealalexinla bucks wasnt train gook boy doe,No Hate and Offensive Speech
darealalexinla woody_afc rodrigu nig fun watch got admit ebola boy speak broken spanish lol,Hate Speech
daa_boy_rel sluttyboy_kush keem_escobar bitch,Offensive Speech
dallyjackson im hoe,Offensive Speech
dalton_ryann parkati blakeanderso guess dumb bitch need drink time place fuck someon haha,Offensive Speech
dalton_ryann lay bed bout pass  gonna bitch,Offensive Speech
damianhuffak haha kiddin ya get fag taylerhatesyou come well go fishin shit,Offensive Speech
damianhuffak your trash,No Hate and Offensive Speech
damiergenesi pull bulbasuar know im bout make yo girl pussi sore,Offensive Speech
damonethedon bitch got blood dat hang la,Offensive Speech
damontda natemurdoch jackdato35 mkpes2 oandapest fuck lil bitch prolli gotta lil dick,Offensive Speech
danluka gotta keep bitch check,Offensive Speech
danwolken idiot opinion like make poll less trash poll werent problem peopl integr vote,No Hate and Offensive Speech
dangitstiff look like fuck shrek bitch,Hate Speech
danicim choke bread bitch,Offensive Speech
danieldavidle xoxoshima ya girl slimi ass hoe get control tell stop spray bullshit mouth day,Offensive Speech
daniel3 hell na  hes honki brah,Offensive Speech
danielsizelov conrad_mlg get cunt,Hate Speech
danielsizelov pussi,Offensive Speech
daniellaparella wuz make general statement ive never call u bitch,Offensive Speech
dannymnd titamtzzz hes still pogu though,No Hate and Offensive Speech
danny_cavanaghavail onlin soon didnt enough get anathema merch cracker need u,No Hate and Offensive Speech
daretnzr know hoe aint right,Offensive Speech
dariendaywalt bitch shut fuck goddam slut bitch whore nigga,Hate Speech
darienbaby_xoxo jk id fuck dog fuck fish pussi,Hate Speech
darienbaby_xoxo ya cant real account dumb bitch go wam fuck bitch,Offensive Speech
darkliquanigga_ nigga grow ball concentr pussi,Offensive Speech
darknigh0 show fairi block hajihuntingpat paulsmitheringa joedouglas1 jewjitsugrl blackorchid taxma6,No Hate and Offensive Speech
darthmaverick7 xcntrik religul chrispyosh rather believ man definit good u mock,No Hate and Offensive Speech
darth_maxwel dude piss look fuck die least im yoke ap4,Offensive Speech
darth_snuff id sell anyth peopl will buy high prostitut think pussi sell,Offensive Speech
datboyrayt support lesbian support faggot there differ,Hate Speech
datboyrayt bitch ass nigga rico ,Offensive Speech
daveswerv awe boy shirt tight bitch avi polo man turnt wrestler fat ass lil boy,Offensive Speech
daveswerv boy look like slave hoe,Offensive Speech
daveswerv lmaoooo middl school knock pussi earring shirt french toast,Offensive Speech
davethegaybabi problem rememb quirk real bitch,Offensive Speech
dave_the_wave giant trashtheir time,No Hate and Offensive Speech
davethebrave1 come hoe,Offensive Speech
davethebrave1 perfect smoke weather haha bro aint even hood yet alreadi got hoe tri say town,Offensive Speech
davethebrave1 hoe shit bro rt x better rn nigga high,Hate Speech
david_h_esq well dirti bird could middl finger sinc phallic give bird necessarili wobblewibbl,No Hate and Offensive Speech
david_hunninck bitch eh hahah,Offensive Speech
deadjak cant stand peopl get fuck amp especi whini bitch even get scare,Offensive Speech
dearionbasedgod kendrick better papoos drake,No Hate and Offensive Speech
dearionbasedgod nigga fuck plano school go hard bitch way better richardson,Offensive Speech
dejloaf mixtap sell sole got banger,No Hate and Offensive Speech
debsflpx lucki sensibl ive never fag drug im pleas statist yes beer that,Offensive Speech
decimate_ix cant even spell right brain ape,No Hate and Offensive Speech
decodnlyf lupefiasco larellj anoth black man anyth monkey alway monkey chicago idiot,Offensive Speech
dedic idk  gotta think caus bitch small shit,Offensive Speech
dedic ugli ass pictur thank bitch,Offensive Speech
deeharris__ might one dont bitch,Offensive Speech
deeja8 fuckwatyuhherrd couldnt care less bitch,Offensive Speech
deemayweath fck dem bitch alway got sum shit wit,Offensive Speech
deeray_fresh  pussi amp pur4,Offensive Speech
deeiigge hey bitch gonna talk shit tag quit bitch fuck car caus wont hold air dumbass,Offensive Speech
deeznutsdo id hate feel like faggot punk ass hoe,Hate Speech
deeznutsdo wash butthol tongu littl faggot,Hate Speech
deeznutsdo shut mouth littl fuckin bitch,Offensive Speech
deeznutsdo dirti littl bitch,Offensive Speech
defendwallst whatev fuck asshol theyr nigger look alik,Hate Speech
"defendwallst littl isi faggot usual bag head anyway make bullet placement interest thru scope",Hate Speech
definemee lol tell dat white bitch said hey,Offensive Speech
deliaparedez rikki_love gabrielaangela4 stephyrae7 theonemiss_luu ramona_pilar im come bitch,Offensive Speech
dem_lips_tho u knw homi show bitch love,Offensive Speech
derekisnorm rt crappyfactsar mcrib bun contain chemic azodicarbonamid also use make yoga mat amp sole shoe,No Hate and Offensive Speech
derek_kirchner7 tori_mil fag7,Hate Speech
derringereagl ur mom pussi die slow death well good compani virgin,Offensive Speech
destrothenobl nekolin purpl amp pinkfor faggot want protectedbi polic instead bear arm need,Hate Speech
detroitch bitch like mean someth,Offensive Speech
detroitplay prettytreazur gotta atleast  call bitch lol,Offensive Speech
devilelyi fag,Offensive Speech
devilfzyq devilelyi tehdevilclan shut fag,Hate Speech
devilgrimz iron hes trashcan hold trash everytim two cuddl burn,No Hate and Offensive Speech
dezzzybo lol nigga real retard,Offensive Speech
dgkadriann shes bad bitch,Offensive Speech
dickdankstard smile like retard kid took till like 5th grade learn natur smile,Offensive Speech
dietcarmel jlewyvill  idgaf man fuck hoe  nice look aint,Offensive Speech
dietric92 ill show chug beer 8,No Hate and Offensive Speech
diggyrozay bitch stay loyal  keeper bro,Offensive Speech
diggztblb  bitch ,Offensive Speech
dignifiedpur lmaooo  black fag misread im block,Offensive Speech
dignieto thank littl fag ,Offensive Speech
diishaidiamond lmao yesterday  hoe cute af lol,Offensive Speech
dimelouxaoh keep hoe happi,Offensive Speech
dimitricrossin bitch ass,Offensive Speech
dinolich dont yell love evolutionari line claudiavic despis trash buddi,No Hate and Offensive Speech
dionprimo soul depart trainther soul musicjust hunger bitchesmoney fame,Offensive Speech
dirkalis balkan_mad dude quit hyposhit bitch ran downstair cryingbeg tell anyon,Offensive Speech
dirrttyydan lmaoo phone autocorrect like bitch,Offensive Speech
dirtyeaffili love juggl around love fast life im sure hes alreadi grind amcon hoe well,Offensive Speech
divamonroho cheefpolo hoe hoe hoe merri christma,No Hate and Offensive Speech
dividendmast obama bitch speech pure polit mid term way destroy isi troop ground,Offensive Speech
dizzybala jameswinfield hey dont diss basketbal hoe,Offensive Speech
dizzybala jmattear awww dis sellout nigguh still talk,Offensive Speech
dizzybala god aw dude dorian  eggplant black,No Hate and Offensive Speech
dizzybala man get around lot bunch hoe,Offensive Speech
dizzybala whoa call cunt,Offensive Speech
djchubbeswagg like retard wutang clan,Hate Speech
djloui club ho ,Offensive Speech
doitlikejaye_  yasss bitch yassss deserv drake voic ,Offensive Speech
doemostdop mattrbennet9 johnniego ha booner twitter boone_boon56 ha,No Hate and Offensive Speech
dolangang bean u beaner,Hate Speech
dolangang wouldnt know fag,Hate Speech
"dolfyadolf yall got betta machineri fo dat hanger ghetto",No Hate and Offensive Speech
domizdop lmao ive alway want skibust ass im innat hoe fit,Offensive Speech
domworldpeac oh nab def easi may know believ im legendari curv pussi lol guilti pleasur,Offensive Speech
donlemoncnn danabashcnn u sorri give racist sentedcruz platform w trash languag dana ur intvw kindergarten level,No Hate and Offensive Speech
donnerkay surlyreven enrag 64  lb mike brown lethal weapon legshi hatr 4 polic amp whitey ad fuel 2 arsenal,Hate Speech
doop_3 lol shid got one boy ass lone bitch cuf aint ya,Offensive Speech
dopeboy_pollo  wassup pussi,Offensive Speech
dopekorean lmfao put twitter see fat bitch,Offensive Speech
doubleaiv watch bitch nigga u gonna want whole team dead,Offensive Speech
dougbenson hey bitch get lucasbro show theyd perfect im kid bitch part,Offensive Speech
doughboyfreco hahahhaha mad bitch ,Offensive Speech
doughert apolog oh wait fuck birthday bitch ,Offensive Speech
dounealdi tonight pussi,Offensive Speech
"drmalvo i like back dare free fo caus whitey pay da fee",Offensive Speech
"drmalvo _rotten__ who da whitey",Offensive Speech
drake thank lyric bitch gullibl sleep music like aw u sweet let suck ur dick,Offensive Speech
dranumaya wrong mayb deal pussi dont put crap f tell f keep real,Offensive Speech
dre_da0 bitch,Offensive Speech
dre_da0 nig nog,Offensive Speech
dre_think lol lil bitch,Offensive Speech
dre_think damn coach aint never call back bitch ass,Offensive Speech
dreadheadxx bitch hallon,Offensive Speech
drewhelm know right much retard,Offensive Speech
drfreezeburnn daithidenogla learn mani retard find search trend topic,Hate Speech
drfreezeburnn that bias object fact philli fan cunt,Hate Speech
drivemy_lexi yasssss bitch yasssss ,Offensive Speech
druggzz_ gonna bring though unless turn welt alreadi like bubbl wit pussi gotta pop itll gone,Offensive Speech
drunkatchurch mzyummydread slide bad bitchdat bitch look good,Offensive Speech
dswizzle3 dswizzl boy u look like big bird sesam street,No Hate and Offensive Speech
dswizzle3 bitch dont even look like keep talk go fight,Offensive Speech
dswizzle3 bitch im real nigga fuck u mean weak ass nigga dont pretend someon im u shut shit fuk boy,Offensive Speech
dswizzle3 bitch unknown u dont mixtap damn sure cant rap u couldnt rap life depend,Offensive Speech
dswizzle3 naw u keep  fake get yo lame ass somwher wigga hell get somwher,Offensive Speech
dswizzle3 oh hell u swag what ever even littl bit dem cheap ass pug rag bitch u black,Offensive Speech
dswizzle3 yea that thought pussi boy u r fuck thot,Offensive Speech
duckin_fop that win right nigga doesnt partak faggot even dont smoke,Offensive Speech
dudewithahighkd jeffreyhaa juddnat sucksbitch cant even pretend danc,Offensive Speech
dustinhoope5 lol lil bitch,Offensive Speech
dutchbrospleas your welcom miss nig nog,Offensive Speech
dylankwinnn go free bird anyway,No Hate and Offensive Speech
easportsfifa next updat would amazin two celebr ad 1 shirt  well take yellow 2 rko,No Hate and Offensive Speech
egp_guamo sonicboombrad im assum would look someth like bitch slap dickpunch,Offensive Speech
ejth got alla da hoe,Offensive Speech
evby_hates_ash bitch want everybodi though that shit one point,Offensive Speech
ezadick dont fail bitch,Offensive Speech
eatmytweetzz lilbuttshar bitch hit chick wont look shit weak af,Offensive Speech
eatmytweetzz huh verizon 4 year bitch,Offensive Speech
eatmytweetzz text dont noisi hoe watch,Offensive Speech
eaglesandheat bpfillherup soleuniv nigga done bump yo head li ning fire kobe 9 elit gold trash ,Offensive Speech
eakaerick wouldnt share wave trash can,No Hate and Offensive Speech
eatmytattoo real nicca shit tho lol,Offensive Speech
eba_sandman mean bitch ass pussi,Offensive Speech
ecliptik zfearless prihncess ssickstori mine pussi,Offensive Speech
eddie_hayden1 lol yeah bro good choic bitch love foreign whip person decis,Offensive Speech
eddie_sativ pussi,Offensive Speech
edgarguillenjr imthatsubieguy blakeanderso joshhandsom aint 6 feet pussi,Offensive Speech
edgarguillenjr jo_clark6 blakeanderso bitch hit girl,Offensive Speech
edgarguillenjr jo_clark6 dalton_ryann daul blakeanderso justinmiculk ktit8 aaronbaxter9 bitch edgar,Offensive Speech
edgarguillenjr punk pussi ass bitch dude dont ball fight wanna wanna hit girl fuckin bitch,Offensive Speech
ehh_donttouchm kourt00 bria_leeandrea that ghetto,No Hate and Offensive Speech
eljefedejef damn bitch nigga mind haha,Offensive Speech
el_grillo1 east current locat eastfac slope dri side dri place,No Hate and Offensive Speech
elaineeespinoza your bitch,Offensive Speech
eleycome_eleygo caykel movi dont matter long coon shit coon your nigga,Hate Speech
elijahfnbabi bra im bout blaze bitch,Offensive Speech
elizabethbatman amp biedanc bitch,Offensive Speech
elizabethbatman lizard unless skype us bitch,Offensive Speech
elizabethbatman bitch,Offensive Speech
elvis_notpresli gt android dmt kno what box nig,Offensive Speech
elyssajankowski comedytext haha stupid hoe,Offensive Speech
emmalouisasuttl timmi anyon bring monkey,No Hate and Offensive Speech
emmalouisasuttl hit clam chowderthank wish card,No Hate and Offensive Speech
emmanillanilla cocki son bitch,Offensive Speech
emmanuelrod willian hoe ,Offensive Speech
empresstata aww man ball small lil affair set bitch,Offensive Speech
englishbri3 sound like good idea want word spread jew nigger commi alik,Hate Speech
entmagazin magisto digitalskept project could lead militari program requir full op mock test,No Hate and Offensive Speech
ericbaetsl greaser,No Hate and Offensive Speech
ericwithahotdad bitch work 24 hour day protect freedom fuck alwaysonwatch globalforceforgood,Offensive Speech
ericwithahotdad bitch im done school,Offensive Speech
ericwithahotdad faggot,Offensive Speech
eric_marin jc21 point sasquatch bitch,Offensive Speech
eric_marin chief_pet lexxx_rug mania rodrigu hoe wasnt loyal ,Offensive Speech
erinsabersix im 99 slay bitch im wearin bando armor caus im rich got slayer helm whip droppi,Offensive Speech
erintaylo brio sure want give free pass everi border jumper countri two what wrong,Hate Speech
ese_miro bitch pleas 5,Offensive Speech
evanbecke3 _triggaplease_ morbidmermaid zooyorkinit _shayisdabomb_ rainbowblak shes nigger,Hate Speech
evanbecke3 _triggaplease_ morbidmermaid zooyorkinit _shayisdabomb_ rainbowblak see dumbass nigger,Offensive Speech
evanbecke3 bitch,Offensive Speech
evandmy nineinchessoft redneck attitud peopl think benghazzi real think fox fake nws real one,Hate Speech
evan_p_gr hope charli strong utcoach,No Hate and Offensive Speech
evan_white4 jeremy_hemsley realli that got side hoe ,Offensive Speech
eveldick surpris ugli mike boogi buy pussi,Offensive Speech
everybodyhatesv read black man tweet hot sauc trash amp watermelon overr cant deal,No Hate and Offensive Speech
everybodyhatesx shut bitch focus l tomar,Offensive Speech
evettecoleman lol true want fri oreo,No Hate and Offensive Speech
exurbankevin bird feather flock togeth subbeck,No Hate and Offensive Speech
eyeonpolit chrisloesch long one special browni right,No Hate and Offensive Speech
ezraxdavi want pussi bad,Offensive Speech
faghettio speak english prude ass white bitch,Offensive Speech
faghettio thirsti basic ass bitch,Offensive Speech
fifacom pepe defend outstand tackl accur nd hos job perfect leg,No Hate and Offensive Speech
follownova yooo think bout day lol realli speak one person niggah,Offensive Speech
frankthefob ok u hav gun love superior fight game probabl get bitch peac 6,Offensive Speech
fazedavl soar_wvyy soar_haz fazeoutcst gobbledi gook dont game,No Hate and Offensive Speech
fabianml aoa write back bitch lol,Offensive Speech
fabianml bitch lol,Offensive Speech
fabianml bitch lol im life anymor,Offensive Speech
fabulousjonna_ need red green amp yellow pant amp helli shirt express,No Hate and Offensive Speech
faisal_nizam khay cant see freakin emoji im basic bitch today,Offensive Speech
fapplebe dude tell that true mom friend texa tri hype redskin footbal shit,Offensive Speech
fardousaa becuz man celebr bday drream faggot,Hate Speech
farrahisawhor persianfarrah nice account faggot,Offensive Speech
fatass_me pussi,Offensive Speech
fattyytooraw well ontario like kind dump ghetto move sinc cheaper live ,No Hate and Offensive Speech
fazeybabi kmichell souljaboy vouch ya pussi tho k,Offensive Speech
femshaveballz u spent signific time ghetto wit year terror commit polic black communiti,No Hate and Offensive Speech
femshaveballz unfortun cloth choic hoe crook belli ring complet dumb trash motif perfect,Offensive Speech
fenkellpayrol yall nicca bout blow fool lol cant wait world see detroit shit nicca,Offensive Speech
fernandezic quit pussi,Offensive Speech
feyenodi ja zo denkt ieder wel zijn zaken amp je mag mij noemen hoe je wilt ben namelijk erg voor vrijheid van meningsuit,Offensive Speech
fightnightx nmife khan face noth trash sinc l garcia,No Hate and Offensive Speech
fightsonvin bitch dont even think playin wit,Offensive Speech
fiifemik chanelisabeth hoe dont make put screenshot text hoe,Hate Speech
fiifemik chanelisabeth shut fuckin beaner,Offensive Speech
fixitjesusx hoe,Offensive Speech
fixupmayt therealyoungzel divamonroho im destroy bitch dawg,Offensive Speech
flawless_dv aboutstraf nexsmitski also like im call hoe ive say stop,Offensive Speech
flawless_dv tehduckii pussi ass bitch,Offensive Speech
flawless_dv dont bitch smh,Offensive Speech
fletchermassi telcoag rc go back mutt rev style cours would necessit run dog adopt,No Hate and Offensive Speech
flightyung that call crash dummi hoe,Offensive Speech
floraleleph pom pom make shit yeahhhh,Offensive Speech
floraleleph wasp angri legend beat squishi pulp,No Hate and Offensive Speech
flo5 jus want let 5ll know hope hurrican kill soca sunday trash lordwillin,Hate Speech
flyguychanz lol tell bitch,Offensive Speech
flyerup boy idea come call smartphon your horribl trash talk,No Hate and Offensive Speech
flyoutchas harold_major lmfaoooo bitch didnt chang  much could find,Offensive Speech
francoiskilljoy marshal law whatev coon,No Hate and Offensive Speech
francoiskilljoy bitch stop hatin caus aint make em toddler size happi make em gs,Offensive Speech
frankiejgrand ew queer white thirsti bitch,Hate Speech
frankiejgrand fug queer white trash,Hate Speech
frankiejgrand omg gtfo white faggot,Hate Speech
frankiejgrand ugli white bitch,Offensive Speech
frankiee9 dont bitch man lol ,Offensive Speech
fredbrooklyn doublegunschip great dumb crybabi pussi,Offensive Speech
fredrpvasquez damn bitch eddi johnson team last year,Offensive Speech
freddiegibb lol alway complain cri like jeezi broke caus moan old bitch,Offensive Speech
freddyamazin ratchet look nigger,Hate Speech
freeajay understand look like real life dyke right like look like wnba dyke bro sport bra amp bball short wear dyke,Hate Speech
freeblazegawd lmsoooo dawg aint got bitch mane low key got chick cant say twitter know wolv,Offensive Speech
freegeez nigga look size plus get hit ass look like fight life ill sneak dat bitch run,Offensive Speech
freegeez shoot nigger bitch knee,Offensive Speech
fromtheshwa yes get twitter lame negro never learn use internet,Hate Speech
fru_iam seen sum im tryin see lox n mook,No Hate and Offensive Speech
fuckboirik hahahaha youza fuck wigger,Hate Speech
fuckkennyj trash,No Hate and Offensive Speech
fuckthemallcop theharri8 mrmooncricket bobbybotsod jimtalbo63 uncleunco aid fuck smdh u punk bitch,Offensive Speech
fucktravonn ahh see im still rook knowledg hoe im progress,Offensive Speech
fuckingcashbro yoe littl bitch x2,Offensive Speech
fugaz11 leav beaner retard,Hate Speech
fukkntyl aint light skin nigga im even color lmao,Offensive Speech
fukkntyl nigga talk shit period aint nun new white bitch go threw everi damn day ,Offensive Speech
fukkntyl u bitch nigga cloth shut yo ass ,Offensive Speech
fulf_shawnfulf peckerwood,Offensive Speech
funnypicsdepot hes greaser,No Hate and Offensive Speech
furrystoat record nohomo dont care unless gotta see everi sexual even bird dog,No Hate and Offensive Speech
"fusionrock jumabr i like dem mexican hoe day suck 5 dolla",Offensive Speech
fvckmike_ bout smack bitch,Offensive Speech
fvckmike_ bro bitch realli stood like gonna give penni,Offensive Speech
fzrodl except gilda radner bitch funni,Offensive Speech
status vikkifusco flyersfan your still bitch,Offensive Speech
status stop bitch,Offensive Speech
gbleighton rememb 94 bitch stop drink get stall wib advic,Offensive Speech
gduenez ur one talk bitch,Offensive Speech
ggchanel jesjosi yeah fuck jigsawfac bitch everyday b,Offensive Speech
gmanistb thank dumb bitch,Offensive Speech
goosemo0 bitch lol,Offensive Speech
goosemo0 your bitch lol naa serio wassuo,Offensive Speech
gopblackchick barrackobama said uswa full nicegivingsmart ppli thought meanunexceptionalbitt clingersevolv,No Hate and Offensive Speech
groundzer84 that true way game broad day tho everyon gamer candi crush angri bird,No Hate and Offensive Speech
gwdrum samzbikowski oh wait get photo playin creed side project bad yeah fob embarrass,No Hate and Offensive Speech
gypmati piss alotta ppl fb flood newsfe next target hoe ass texan,Offensive Speech
g_anderson4 lol gonna fun got two niglet way,Offensive Speech
g_babyrachi nicca dnt kno bout da art finessin,Offensive Speech
gabejgonzalez rpopbox prime leija would trash  dude today,No Hate and Offensive Speech
gabrielaangela4 deliaparedez stephyrae7 theonemiss_luu ramona_pilar rikki_love whatev gabbi hoe,Offensive Speech
gabrielaangela4 stephyrae7 gabbi ghetto,Offensive Speech
gabrielaangela4 alway bitch,Offensive Speech
gallagheremili nigra da back,Offensive Speech
garcia nude trash ,No Hate and Offensive Speech
garner2 heyyyyyyyyyyy fag boy gonna watch play,Hate Speech
genetnbarockbox say old man  hope surviv anoth 10 year silli jigga boo monkey,Hate Speech
genuinelyot lol pussi got rich nigga lose mind got drizzi amp breezi beefd puss devil playground,Offensive Speech
genuinelyot yo mind rose colder kim amp way earth kany bitch give problem wiz,Offensive Speech
"gertrude_laru i color latino jewish move dont ruin neighborhood wipe",No Hate and Offensive Speech
get__em__craig hear ya hoe,Offensive Speech
get__em__craig sleep hoe,Offensive Speech
get__em__craig funki hoe gone solo,Offensive Speech
get__em__craig lol morn hoe,Offensive Speech
get__em__craig naw hoe let see got keisha,Offensive Speech
get__em__craig owe two hoe dont wanna hear shit hyu,Offensive Speech
gethenian ffffffffffffuck baratheon rebellion bitch,Offensive Speech
